ID,Username,CreateDate,Biased,Keyword,Text
1487134399758061568,Popcorn29279057,2022-01-28 18:44:05+00:00,0,Jews,"#ItStartedWithWords, and before long 6 million Jews and millions of others were murdered. \n\n#WeRemember and vow #NeverAgain.\n https://t.co/TEiE6y2oRg"
1271547389027942400,theniyi,2020-06-12 20:58:16+00:00,0,Jews,"@OluyomiOjo During Holocaust, Jews went back to where they ""belong"" to die fighting rather than being wiped out. Despite that anti-Semitism is still a thing but not pronounced because Isreal used Germans to send a message to the world with Olympic Bombing saga."
1277434030070390786,Barbara30266155,2020-06-29 02:49:41+00:00,0,Jews,@GarrettMilovich @ShaneClaiborne The Jews were.
1356308377815687168,Rapport2012,2021-02-01 18:28:10+00:00,0,Jews,"Today we remember the six million Jews murdered during the Holocaust. 🙏🏻🕯\n\nTo commemorate #InternationalHolocaustRemembranceDay, I wanted to share this beautiful video of young girls from all over the world reading amazing quotes from Anne Frank's diary. https://t.co/zDe3a7pDdr"
1402615107637727235,CapitalJew,2021-06-09 13:14:35+00:00,0,Jews,"#OTD 9 June 1944, paratrooper Hannah Szenes attempted to cross into Hungary after parachuting into Yugoslavia. \n\nReuven Dafni was in the same unit as Szenes tasked with infiltrating enemy lines to rescue Jews. Watch him recall their joint mission: https://t.co/dECN3rfgdU"
1634992003984543744,zoidbergererer,2023-03-12 18:57:25+00:00,0,Israel,"Closing out the game for team Israel, none other than @RobertStock6 ðŸ”¥"
1618884296252719108,AvEngSciPol,2023-01-27 08:11:08+00:00,0,Jews,"On this day in 1945, Soviet troops liberate Auschwitz. During the five years the camp was operational, 1.1 million people were murdered there. One out of every six Jews killed in the Holocaust died at Auschwitz. https://t.co/8rbyvv1Mc6"
1450010144146919428,pensionlawyeruk,2021-10-18 08:05:32+00:00,0,Jews,"A Labour Councillor who was previously suspended for calling Jews ‘murderers’ and claiming that Israel created ISIS, has been readmitted into the party and continues to share antisemitic comments.\n\nhttps://t.co/hGyrZqd6C4"
1316465831354740744,wanderingswayne,2020-10-14 19:48:07+00:00,0,Jews,"EXCLUSIVE: In a new national poll commissioned by @Ami_Magazine, 83% of Orthodox Jews say they're voting for President Trump, while 13% are voting for VP Biden.\n\nThis marks a 29% swing in favor of Trump since 2016.\n\nSee full poll results + analysis in the new issue of Ami. https://t.co/pqJl988jx5"
1577187732769492992,basoamir,2022-10-04 06:43:52+00:00,1,Israel,"RT @Kuffiya3: In a shameful act, the European Union (EU) held the Association Council meeting with Apartheid Israel after ten years of suspension, despite calls to cancel it over the Israeli occupation's crimes against Palestinians. https://t.co/0swPR8T4MH"
1624750970532929536,Mark07640217,2023-02-12 12:43:12+00:00,1,Jews,"@SuellaBraverman @MerseyPolice You said alleged behaviour of some asylum seekers. \nWhy? \nThey didn't attack the police or set fire to a police van. \nThis is how the NAZIS accused the Jews, by twisting the facts around."
1503853843821608960,Donna_Maria2,2022-03-15 22:01:11+00:00,0,Israel,"Biden sanctions the Russia—while “the nuclear deal with Iran gives Russia a cash-rich client eager to buy Russian arms. …[For] the Obama-Biden faction, Russia is hardly the main problem. That distinction is reserved for Israel,” says ⁦@LeeSmithDC⁩. https://t.co/u5gcRdZlis"
1417142999528611850,badpiratemonkey,2021-07-19 15:23:14+00:00,0,Jews,"@4noura My family and the 850,000 Jews of the Middle East have similar nightmares of being expelled from their homes, all our property stolen, and the family members who didn’t get out being murdered in the streets. Because that happened, even if you won’t acknowledge it."
1102846426403479553,AlterEgoRage,2019-03-05 08:20:52+00:00,0,Kikes,"Anti-semitism used to mean job discrimination and stigmatization of Jews as ""kikes"". Today the definition has shifted to mean any criticism of Israel because Israel supporters must do anything they can to prevent #BDS from entering the mainstream. https://t.co/kkBrYnHDeW"
1221966396009021440,ginarcameron,2020-01-28 01:21:06+00:00,0,Jews,"On Holocaust Remembrance Day, we remember the six million Jews and other victims of Nazism.\n\nWe honor their memories by speaking out against anti-Semitism, injustice, and hatred in all forms. Never Again."
1548472886741962753,corjoy,2022-07-17 01:01:20+00:00,0,Israel,"@BobbyTaylor810 @LibsterSergey @IMDibe @karenbradyuk @yes_we_cat @gomiriam63 @robinsonmsr10 @cool_grandad @Coho29415979 @AnastasiaKLynch @Brad_Spielman @SamLevinson8 @asegovia9 @Buckeye_ricky @Pen_Bird @moderatedew @whywouldyou_uk @IreneMinkema @ScottAlan107 @mockgoose @JonathanWeissb3 @karmorEMES @TesseraDeka @AllThingsIsrael @Carl0s_Vela @6TK9Cn1RB4A49B1 @swanz2506 @emmettimanu @TouchMyFalafels @BgoerckeRobert @Jael7102 @MechanicznaC @Ovidio95861095 @Tiredoftrollsuf @miss_gran_dia @garybkatz @issam_najdawi @PattataM @now_1984is @LehiRed @h7n33n @reallhere @Desuetudine @WeinsteinDr @KesBilly @vannifrediani @daggerhaft @DavidPick33 @IILeahll @MehrMiriam Arab countries,Iran have never threatened America-Everything bootlickers in D.C. do for Israel,defies the Constitution,the safety of the American ppl &amp; their country-Clearlyâ€¦Shall we go down memory laneâ€¦"
1280225645163941889,rayb4269,2020-07-06 19:42:33+00:00,1,Jews,"@realDonaldTrump Man you get so much hate, especially the �Jews�"
1158206615792705536,EllenGill65,2019-08-05 02:42:30+00:00,0,Jews,Faces of Nazi guards who killed a million Jews go online https://t.co/UHL17HRSZu
